0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
aggregate,profound,abate,esoteric,capricious,tortuous,grandiloquent,autonomous,elegy,deride,prevaricate,subpoena,endemic,equanimity,enhance,discerning,flag,bolster,solicitous,penchant,permeable,propriety,diatribe,levee,diverge,perennial,recalcitrant,compliant,prohibitive,discredit,burnish,dissolution,sporadic,conciliatory
,inherent,subside,discrete,extrapolation,arduous,recondite,,eulogy,flout,gouge,resolution,,elicit,impede,fatuous,,fledgling,complaisant,misanthrope,pristine,truculence,caustic,,adulterate,,wary,onerous,,recant,abeyance,dismiss,,tacit
,apathy,impair,dissonance,viscous,futile,indolent,,coda,idolatry,dissemble,document,,plummet,facilitate,fallacious,,stint,loquacious,skeptic,refractory,rarefied,partisan,,inundate,,placate,problematic,,refute,qualified,deterrent,,implicit
,antipathy,forestall,immutable,ephemeral,,discordant,,dirge,condone,proliferate,preamble,,impassive,,tractable,,,abstemious,sage,impermeable,propensity,invective,,attenuate,,mollify,tenuous,,substantiate,converge,rescind,,
,intransigence,foment,striate,latent,,inconsequential,,metamorphosis,confound,aver,,,beneficent,,facetious,,,erudite,zealot,porous,diffidence,tirade,,occlude,,appease,intractable,,disseminate,amalgamate,sanction,,
,ambivalence,ameliorate,spectrum,efficacy,,ostentatious,,prodigal,venerate,indigence,,,paucity,,chicanery,,,reprobate,connoisseur,,anarchy,implacable,,burgeon,,assuage,appropriate,,,divest,unwarranted,,
,,alleviate,homogeneous,luminous,,disjointed,,,embellish,apprise,,,savor,,banal,,,gregarious,eclectic,,dichotomy,,,coagulate,,,mundane,,,gainsay,stipulate,,
,,engender,catalyst,pathological,,pungent,,,laud,vacillate,,,supposition,,verbose,,,garrulous,fervor,,probity,,,saturate,,,contention,,,goad,resolve,,
,,precipitate,empirical,aberrant,,malingerer,,,admonish,oscillate,,,transgression,,inured,,,reticent,maverick,,effrontery,,,daunt,,,itinerary,,,implode,,,
,,mitigate,incorporate,discrepancy,,whimsical,,,denigrate,abscond,,,approbation,,conundrum,,,laconic,iconoclastic,,frugality,,,delineate,,,ambiguous,,,negate,,,
,,exacerbate,precursor,diffuse,,desultory,,,repudiate,exculpate,,,deference,,euphemism,,,pate,bombastic,,torpor,,,secrete,,,viable,,,emulate,,,
,,,indeterminate,anomalous,,lethargic,,,disparage,equivocate,,,lassitude,,presumptuous,,,boorish,austere,,penury,,,distend,,,dormant,,,relegate,,,
,,,derivative,plasticity,,plethora,,,proscribe,,,,alacrity,,malleable,,,imperturbable,dogmatic,,castigation,,,propitiate,,,volatile,,,supersede,,,
,,,analogous,,,ingenuous,,,disabuse,,,,reproach,,mendacious,,,platitude,assiduous,,inchoate,,,,,,precarious,,,strut,,,
,,,tangential,,,innocuous,,,,,,,levity,,dupe,,,ebullient,ascetic,,paragon,,,,,,contentious,,,craven,,,
,,,log,,,harangue,,,,,,,lucid,,disinterested,,,morose,,,incongruity,,,,,,disparate,,,obviate,,,
,,,inert,,,obdurate,,,,,,,magnanimity,,digression,,,contrite,,,stigma,,,,,,inadvertently,,,insinuate,,,
,,,aesthetic,,,guileless,,,,,,,welter,,hyperbole,,,irascible,,,opprobrium,,,,,,quiescent,,,,,,
,,,,,,felicitous,,,,,,,satiate,,pedantic,,,officious,,,buttress,,,,,,pervasive,,,,,,
,,,,,,insensible,,,,,,,piety,,quibble,,,obsequious,,,insularity,,,,,,convoluted,,,,,,
,,,,,,insipid,,,,,,,belie,,gullible,,,recluse,,,,,,,,,impervious,,,,,,
,,,,,,perfunctory,,,,,,,commensurate,,specious,,,neophyte,,,,,,,,,default,,,,,,
,,,,,,perfidious,,,,,,,fawning,,disingenuous,,,irresolute,,,,,,,,,pragmatic,,,,,,
,,,,,,meticulous,,,,,,,reverent,,distill,,,stolid,,,,,,,,,,,,,,,
,,,,,,soporific,,,,,,,decorum,,cogent,,,,,,,,,,,,,,,,,,
,,,,,,salubrious,,,,,,,exigency,,phlegmatic,,,,,,,,,,,,,,,,,,
,,,,,,vituperative,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,anachronism,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,shard,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,artless,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,audacious,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,compendium,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,cacophonous,,,,,,,,,,,,,,,,,,,,,,,,,,,
