0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
abate,alleviate,placate,tortuous,banal,facilitate,converge,denigrate,harangue,specious,garrulous,impede,permeable,tacit,tenuous,substantiate
occlude,ameliorate,appease,arduous,mundane,enhance,diverge,disparage,diatribe,fallacious,loquacious,impair,impermeable,implicit,precarious,refute
obviate,exacerbate,assuage,,,bolster,,,invective,,,,,,,
obsequious,mitigate,mollify,,,,,,tirade,,,,,,,
obdurate,,,,,,,,,,,,,,,
neophyte,,,,,,,,,,,,,,,
negate,,,,,,,,,,,,,,,
morose,,,,,,,,,,,,,,,
misanthrope,,,,,,,,,,,,,,,
meticulous,,,,,,,,,,,,,,,
metamorphosis,,,,,,,,,,,,,,,
mendacious,,,,,,,,,,,,,,,
maverick,,,,,,,,,,,,,,,
malleable,,,,,,,,,,,,,,,
malingerer,,,,,,,,,,,,,,,
magnanimity,,,,,,,,,,,,,,,
officious,,,,,,,,,,,,,,,
onerous,,,,,,,,,,,,,,,
opprobrium,,,,,,,,,,,,,,,
oscillate,,,,,,,,,,,,,,,
plasticity,,,,,,,,,,,,,,,
piety,,,,,,,,,,,,,,,
phlegmatic,,,,,,,,,,,,,,,
pervasive,,,,,,,,,,,,,,,
perfunctory,,,,,,,,,,,,,,,
perfidious,,,,,,,,,,,,,,,
perennial,,,,,,,,,,,,,,,
luminous,,,,,,,,,,,,,,,
penury,,,,,,,,,,,,,,,
pedantic,,,,,,,,,,,,,,,
paucity,,,,,,,,,,,,,,,
pathological,,,,,,,,,,,,,,,
pate,,,,,,,,,,,,,,,
partisan,,,,,,,,,,,,,,,
paragon,,,,,,,,,,,,,,,
ostentatious,,,,,,,,,,,,,,,
penchant,,,,,,,,,,,,,,,
platitude,,,,,,,,,,,,,,,
lucid,,,,,,,,,,,,,,,
levity,,,,,,,,,,,,,,,
inert,,,,,,,,,,,,,,,
indolent,,,,,,,,,,,,,,,
indigence,,,,,,,,,,,,,,,
indeterminate,,,,,,,,,,,,,,,
incorporate,,,,,,,,,,,,,,,
inconsequential,,,,,,,,,,,,,,,
incongruity,,,,,,,,,,,,,,,
inchoate,,,,,,,,,,,,,,,
inadvertently,,,,,,,,,,,,,,,
implode,,,,,,,,,,,,,,,
whimsical,,,,,,,,,,,,,,,
impervious,,,,,,,,,,,,,,,
imperturbable,,,,,,,,,,,,,,,
impassive,,,,,,,,,,,,,,,
immutable,,,,,,,,,,,,,,,
ingenuous,,,,,,,,,,,,,,,
inherent,,,,,,,,,,,,,,,
innocuous,,,,,,,,,,,,,,,
insensible,,,,,,,,,,,,,,,
levee,,,,,,,,,,,,,,,
lethargic,,,,,,,,,,,,,,,
laud,,,,,,,,,,,,,,,
latent,,,,,,,,,,,,,,,
lassitude,,,,,,,,,,,,,,,
laconic,,,,,,,,,,,,,,,
itinerary,,,,,,,,,,,,,,,
log,,,,,,,,,,,,,,,
irresolute,,,,,,,,,,,,,,,
inured,,,,,,,,,,,,,,,
inundate,,,,,,,,,,,,,,,
intransigence,,,,,,,,,,,,,,,
intractable,,,,,,,,,,,,,,,
insularity,,,,,,,,,,,,,,,
insipid,,,,,,,,,,,,,,,
insinuate,,,,,,,,,,,,,,,
irascible,,,,,,,,,,,,,,,
idolatry,,,,,,,,,,,,,,,
plethora,,,,,,,,,,,,,,,
porous,,,,,,,,,,,,,,,
striate,,,,,,,,,,,,,,,
stolid,,,,,,,,,,,,,,,
stipulate,,,,,,,,,,,,,,,
stint,,,,,,,,,,,,,,,
stigma,,,,,,,,,,,,,,,
sporadic,,,,,,,,,,,,,,,
spectrum,,,,,,,,,,,,,,,
soporific,,,,,,,,,,,,,,,
solicitous,,,,,,,,,,,,,,,
skeptic,,,,,,,,,,,,,,,
shard,,,,,,,,,,,,,,,
secrete,,,,,,,,,,,,,,,
savor,,,,,,,,,,,,,,,
saturate,,,,,,,,,,,,,,,
satiate,,,,,,,,,,,,,,,
strut,,,,,,,,,,,,,,,
subpoena,,,,,,,,,,,,,,,
subside,,,,,,,,,,,,,,,
supersede,,,,,,,,,,,,,,,
welter,,,,,,,,,,,,,,,
