0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
implacable,loquacious,abeyance,alacrity,plethora,ambiguous,approbation,precursor,metamorphosis,digression,extrapolation,perennial,pristine,impermeable,implicit,saturate,precarious,salubrious
ostentatious,tirade,dormant,equanimity,disparate,viable,deference,catalyst,eulogy,platitude,empirical,endemic,ephemeral,porous,tacit,inundate,tenuous,soporific
paragon,mollify,,magnanimity,emulate,problematic,,,elegy,,efficacy,,,impervious,,,,
pate,tangential,,,relegate,,,,coda,,,,,permeable,,,,
dogmatic,substantiate,,,contention,,,,dirge,,,,,refractory,,,,
divest,subpoena,,,amalgamate,,,,,,,,,,,,,
paucity,supposition,,,qualified,,,,,,,,,,,,,
distill,subside,,,incorporate,,,,,,,,,,,,,
dissonance,meticulous,,,,,,,,,,,,,,,,
dissolution,malingerer,,,,,,,,,,,,,,,,
disseminate,mendacious,,,,,,,,,,,,,,,,
penury,maverick,,,,,,,,,,,,,,,,
perfidious,mitigate,,,,,,,,,,,,,,,,
pervasive,supersede,,,,,,,,,,,,,,,,
plasticity,latent,,,,,,,,,,,,,,,,
plummet,lethargic,,,,,,,,,,,,,,,,
pragmatic,wary,,,,,,,,,,,,,,,,
prohibitive,inert,,,,,,,,,,,,,,,,
proliferate,ingenuous,,,,,,,,,,,,,,,,
propensity,inherent,,,,,,,,,,,,,,,,
default,innocuous,,,,,,,,,,,,,,,,
quiescent,vituperative,,,,,,,,,,,,,,,,
craven,insinuate,,,,,,,,,,,,,,,,
rarefied,viscous,,,,,,,,,,,,,,,,
contentious,insipid,,,,,,,,,,,,,,,,
recondite,insularity,,,,,,,,,,,,,,,,
effrontery,verbose,,,,,,,,,,,,,,,,
connoisseur,intractable,,,,,,,,,,,,,,,,
opprobrium,intransigence,,,,,,,,,,,,,,,,
embellish,venerate,,,,,,,,,,,,,,,,
indolent,invective,,,,,,,,,,,,,,,,
inchoate,irascible,,,,,,,,,,,,,,,,
inadvertently,vacillate,,,,,,,,,,,,,,,,
implode,truculence,,,,,,,,,,,,,,,,
insensible,laconic,,,,,,,,,,,,,,,,
